Epsilon , 	 Path L ,	 Time[s]
0.01 ,	1751 ,	10.11
0.01 ,	1977 ,	12.476
0.01 ,	1468 ,	14.418
0.01 ,	1614 ,	13.377
0.01 ,	1735 ,	12.022
0.01 ,	1736 ,	13.457
0.01 ,	1734 ,	13.896
0.01 ,	1754 ,	11.828
0.01 ,	1520 ,	6.477
0.01 ,	1734 ,	14.583
0.01 ,	1585 ,	11.535
0.01 ,	1501 ,	9.318
0.01 ,	1640 ,	11.232
0.01 ,	1700 ,	10.387
0.01 ,	1887 ,	9.327
0.01 ,	1456 ,	7.04
0.01 ,	1758 ,	10.34
0.01 ,	1424 ,	5.951
0.01 ,	1783 ,	14.873
0.01 ,	1687 ,	11.73
0.01 ,	1748 ,	14.217
0.01 ,	1582 ,	9.437
0.01 ,	1711 ,	12.977
0.01 ,	1754 ,	15.193
0.01 ,	1485 ,	6.872
0.01 ,	1677 ,	13.235
0.01 ,	1811 ,	9.472
0.01 ,	1693 ,	10.594
0.01 ,	1483 ,	8.499
0.01 ,	1611 ,	8.983
0.01 ,	1893 ,	13.577
0.01 ,	1849 ,	10.688
0.01 ,	1805 ,	9.586
0.01 ,	1502 ,	7.921
0.01 ,	1687 ,	10.338
0.01 ,	1819 ,	10.213
0.01 ,	1660 ,	13.275
0.01 ,	1551 ,	9.535
0.01 ,	1742 ,	12.213
0.01 ,	1244 ,	6.777
0.01 ,	1918 ,	10.148
0.01 ,	1765 ,	12.618
0.01 ,	1553 ,	6.962
0.01 ,	1451 ,	9.497
0.01 ,	1664 ,	9.002
0.01 ,	1730 ,	11.731
0.01 ,	1656 ,	7.59
0.01 ,	1707 ,	10.467
0.01 ,	1647 ,	9.189
0.01 ,	1759 ,	11.562
0.01 ,	1773 ,	12.948
0.01 ,	1852 ,	11.399
0.01 ,	1738 ,	10.37
0.01 ,	1296 ,	8.006
0.01 ,	1648 ,	8.85
0.01 ,	1594 ,	8.415
0.01 ,	1679 ,	10.146
0.01 ,	1693 ,	8.93
0.01 ,	1696 ,	11.442
0.01 ,	1592 ,	9.776
0.01 ,	1669 ,	10.305
0.01 ,	1745 ,	11.6
0.01 ,	1767 ,	13.938
0.01 ,	1524 ,	8.407
0.01 ,	1671 ,	12.495
0.01 ,	1593 ,	12.945
0.01 ,	1674 ,	11.772
0.01 ,	1747 ,	9.586
0.01 ,	1919 ,	10.566
0.01 ,	1635 ,	7.461
0.01 ,	1662 ,	13.484
0.01 ,	1667 ,	9.522
0.01 ,	1636 ,	9.171
0.01 ,	1574 ,	8.125
0.01 ,	1686 ,	10.589
0.01 ,	1603 ,	12.676
0.01 ,	1692 ,	12.411
0.01 ,	1829 ,	12.519
0.01 ,	1743 ,	10.99
0.01 ,	1557 ,	6.199
0.01 ,	1654 ,	9.658
0.01 ,	1562 ,	15.731
0.01 ,	1710 ,	10.508
0.01 ,	1718 ,	10.954
0.01 ,	1490 ,	10.961
0.01 ,	1502 ,	12.133
0.01 ,	1946 ,	11.991
0.01 ,	1689 ,	13.747
0.01 ,	1649 ,	10.927
0.01 ,	1685 ,	12.218
0.01 ,	1611 ,	11.401
0.01 ,	1772 ,	11.798
0.01 ,	1770 ,	11.237
0.01 ,	1746 ,	10.211
0.01 ,	1541 ,	6.495
0.01 ,	1720 ,	10.707
0.01 ,	1649 ,	9.753
0.01 ,	1745 ,	10.508
0.01 ,	1693 ,	12.093
0.01 ,	1798 ,	9.703
0.01 ,	1830 ,	11.627
0.01 ,	1581 ,	8.264
0.01 ,	1823 ,	11.554
0.01 ,	1641 ,	9.333
0.01 ,	1706 ,	10.121
0.01 ,	1597 ,	8.044
0.01 ,	1541 ,	10.462
0.01 ,	1606 ,	11.266
0.01 ,	1563 ,	14.165
0.01 ,	1797 ,	13.694
0.01 ,	1703 ,	10.201
0.01 ,	2074 ,	11.874
0.01 ,	1673 ,	11.427
0.01 ,	1475 ,	9.216
0.01 ,	1701 ,	12.401
0.01 ,	1687 ,	11.136
0.01 ,	1638 ,	11.39
0.01 ,	1823 ,	16.005
0.01 ,	1773 ,	10.956
0.01 ,	1509 ,	7.939
0.01 ,	1706 ,	12.756
0.01 ,	1495 ,	10.061
0.01 ,	1623 ,	8.419
0.01 ,	1390 ,	6.908
0.01 ,	1389 ,	8.38
0.01 ,	2129 ,	12.177
0.01 ,	1982 ,	10.417
0.01 ,	1726 ,	13.033
0.01 ,	1688 ,	12.196
0.01 ,	1516 ,	8.82
0.01 ,	2059 ,	14.11
0.01 ,	1629 ,	9.639
0.01 ,	1736 ,	10.863
0.01 ,	1694 ,	10.919
0.01 ,	1737 ,	12.991
0.01 ,	1678 ,	16.316
0.01 ,	1735 ,	11.389
0.01 ,	1573 ,	8.201
0.01 ,	1749 ,	13.058
0.01 ,	1655 ,	11.044
0.01 ,	1895 ,	15.983
0.01 ,	1708 ,	10.625
0.01 ,	1502 ,	6.617
0.01 ,	1654 ,	10.053
0.01 ,	1885 ,	6.726
0.01 ,	1756 ,	13.307
0.01 ,	1721 ,	10.527
0.01 ,	1666 ,	11.9
0.01 ,	1794 ,	9.369
0.01 ,	1858 ,	9.268
0.01 ,	1636 ,	9.987
0.01 ,	1717 ,	12.187
0.01 ,	1697 ,	11.459
0.01 ,	1580 ,	10.895
0.01 ,	1728 ,	10.535
0.01 ,	1686 ,	12.131
0.01 ,	1658 ,	10.088
0.01 ,	1419 ,	7.457
0.01 ,	1741 ,	9.977
0.01 ,	1691 ,	11.233
0.01 ,	1782 ,	13.128
0.01 ,	1675 ,	11.031
0.01 ,	1540 ,	12.173
0.01 ,	1652 ,	11.782
0.01 ,	2006 ,	11.842
0.01 ,	1575 ,	6.67
0.01 ,	1620 ,	11.806
0.01 ,	1664 ,	11.876
0.01 ,	1628 ,	12.277
0.01 ,	1500 ,	8.838
0.01 ,	1606 ,	11.045
0.01 ,	1552 ,	11.83
0.01 ,	1673 ,	12.075
0.01 ,	1772 ,	12.86
0.01 ,	1427 ,	9.918
0.01 ,	1485 ,	7.7
0.01 ,	1601 ,	11.083
0.01 ,	1813 ,	15.071
0.01 ,	1584 ,	8.722
0.01 ,	1801 ,	7.558
0.01 ,	1661 ,	11.361
0.01 ,	1585 ,	8.048
0.01 ,	1517 ,	13.318
0.01 ,	1760 ,	10.84
0.01 ,	1552 ,	6.195
0.01 ,	1757 ,	11.466
0.01 ,	1704 ,	10.317
0.01 ,	1814 ,	13.509
0.01 ,	1414 ,	7.115
0.01 ,	1910 ,	11.162
0.01 ,	1646 ,	14.655
0.01 ,	1686 ,	11.327
0.01 ,	1643 ,	9.931
0.01 ,	1610 ,	13.146
0.01 ,	1673 ,	9.835
0.01 ,	1740 ,	17.456
0.01 ,	1626 ,	9.166
0.01 ,	1842 ,	12.843
0.01 ,	1668 ,	11.8
0.01 ,	1691 ,	10.863
0.01 ,	1601 ,	9.798
0.01 ,	1653 ,	9.6
0.01 ,	1590 ,	9.341
0.01 ,	2001 ,	12.484
0.01 ,	1792 ,	11.431
0.01 ,	1718 ,	14.14
0.01 ,	1739 ,	12.719
0.01 ,	1679 ,	10.989
0.01 ,	1565 ,	8.999
0.01 ,	1665 ,	10.806
0.01 ,	1626 ,	8.59
0.01 ,	1570 ,	15.22
0.01 ,	1611 ,	6.389
0.01 ,	1612 ,	11.236
0.01 ,	1636 ,	11.122
0.01 ,	1854 ,	11.861
0.01 ,	1525 ,	9.894
0.01 ,	1617 ,	9.848
0.01 ,	1701 ,	10.939
0.01 ,	1766 ,	11.47
0.01 ,	1619 ,	7.56
0.01 ,	1642 ,	9.487
0.01 ,	1697 ,	11.974
0.01 ,	1680 ,	9.547
0.01 ,	1823 ,	11.696
0.01 ,	1711 ,	10.255
0.01 ,	1777 ,	11.825
0.01 ,	1585 ,	9.079
0.01 ,	2044 ,	14.747
0.01 ,	1521 ,	8.857
0.01 ,	1604 ,	13.104
0.01 ,	1726 ,	18.85
NaN ,	NaN
NaN ,	NaN
0.01 ,	1712 ,	12.599
0.01 ,	1706 ,	18.534
NaN ,	NaN
0.01 ,	1631 ,	15.838
0.01 ,	1511 ,	11.478
0.01 ,	1703 ,	12.146
0.01 ,	1704 ,	11.764
0.01 ,	1716 ,	15.835
0.01 ,	1622 ,	10.424
0.01 ,	1755 ,	14.989
0.01 ,	1661 ,	15.255
0.01 ,	1641 ,	19.125
0.01 ,	1878 ,	14.073
0.01 ,	1565 ,	9.851
0.01 ,	1657 ,	11.249
0.01 ,	1660 ,	8.982
0.01 ,	1683 ,	10.364
0.01 ,	2074 ,	14.022
0.01 ,	1683 ,	12.876
0.01 ,	1744 ,	13.662
0.01 ,	1662 ,	11.29
0.01 ,	1730 ,	12.694
0.01 ,	1626 ,	9.184
0.01 ,	1755 ,	12.78
0.01 ,	1851 ,	12.533
0.01 ,	1654 ,	9.719
0.01 ,	1681 ,	10.574
0.01 ,	1694 ,	9.068
0.01 ,	1673 ,	14.58
0.01 ,	1334 ,	8.027
0.01 ,	1774 ,	12.121
0.01 ,	1687 ,	12.247
0.01 ,	1565 ,	9.871
0.01 ,	1714 ,	13.547
0.01 ,	1749 ,	12.73
0.01 ,	1795 ,	15.73
0.01 ,	1676 ,	11.241
0.01 ,	1973 ,	12.479
0.01 ,	1695 ,	11.379
0.01 ,	1772 ,	13.959
0.01 ,	1645 ,	11.514
0.01 ,	1264 ,	5.292
0.01 ,	1627 ,	11.327
0.01 ,	1659 ,	11.06
0.01 ,	1681 ,	12.437
0.01 ,	1723 ,	10.254
0.01 ,	1678 ,	11.242
0.01 ,	1623 ,	10.054
0.01 ,	1713 ,	12.853
0.01 ,	1709 ,	12.693
0.01 ,	1648 ,	11.961
0.01 ,	1508 ,	8.705
0.01 ,	1592 ,	10.394
0.01 ,	1689 ,	9.095
0.01 ,	1702 ,	11.129
0.01 ,	1688 ,	11.762
0.01 ,	1699 ,	11.712
0.01 ,	1441 ,	7.023
0.01 ,	1841 ,	13.712
0.01 ,	1754 ,	11.161
0.01 ,	1425 ,	9.291
0.01 ,	1706 ,	13.093
0.01 ,	1733 ,	12.308
0.01 ,	1587 ,	8.594
0.01 ,	1686 ,	13.243
0.01 ,	1710 ,	14.528
0.01 ,	1696 ,	10.639
0.01 ,	1757 ,	11.717
0.01 ,	1612 ,	11.601
0.01 ,	1554 ,	8.643
0.01 ,	1641 ,	13.928
0.01 ,	1724 ,	11.141
0.01 ,	1388 ,	12.386
0.01 ,	1627 ,	10.185
0.01 ,	1704 ,	12.056
0.01 ,	1668 ,	12.588
0.01 ,	1563 ,	9.571
0.01 ,	1612 ,	10.353
0.01 ,	1719 ,	12.051
0.01 ,	1625 ,	8.327
0.01 ,	1639 ,	12.131
0.01 ,	1656 ,	9.526
0.01 ,	1860 ,	12.527
0.01 ,	1675 ,	10.138
0.01 ,	1521 ,	9.305
0.01 ,	1723 ,	10.568
0.01 ,	1512 ,	10.774
0.01 ,	1740 ,	12.118
0.01 ,	1762 ,	13.018
0.01 ,	1717 ,	11.779
0.01 ,	1647 ,	12.208
0.01 ,	1643 ,	13.265
0.01 ,	1972 ,	12.325
0.01 ,	1490 ,	11.248
0.01 ,	1646 ,	12.171
0.01 ,	1734 ,	12.505
0.01 ,	1818 ,	13.697
0.01 ,	1509 ,	8.162
0.01 ,	1685 ,	10.818
0.01 ,	1513 ,	8.043
0.01 ,	1825 ,	7.138
0.01 ,	1728 ,	12.428
0.01 ,	1582 ,	12.73
0.01 ,	1869 ,	10.822
0.01 ,	1700 ,	12.598
0.01 ,	2224 ,	13.989
0.01 ,	1689 ,	12.614
0.01 ,	1722 ,	12.424
0.01 ,	1688 ,	11.578
0.01 ,	1480 ,	8.667
