Epsilon , 	 Path L ,	 Time[s]
0.01 ,	1581 ,	9.736
0.01 ,	1878 ,	11.438
0.01 ,	1791 ,	11.764
0.01 ,	1659 ,	11.528
0.01 ,	1509 ,	10.796
0.01 ,	1675 ,	11.11
0.01 ,	1649 ,	11.367
0.01 ,	1652 ,	10.767
0.01 ,	1811 ,	10.808
0.01 ,	1645 ,	10.738
0.01 ,	1680 ,	10.222
0.01 ,	1709 ,	8.416
0.01 ,	1659 ,	12.135
0.01 ,	1735 ,	10.447
0.01 ,	1743 ,	13.529
0.01 ,	1611 ,	10.059
0.01 ,	1639 ,	9.237
0.01 ,	1469 ,	10.537
0.01 ,	1651 ,	9.017
0.01 ,	1708 ,	10.797
0.01 ,	1640 ,	10.323
0.01 ,	1465 ,	10.628
0.01 ,	1761 ,	9.463
0.01 ,	1412 ,	8.428
0.01 ,	1599 ,	13.733
0.01 ,	1697 ,	13.687
0.01 ,	1489 ,	9.601
0.01 ,	1787 ,	14.629
0.01 ,	1630 ,	11.112
0.01 ,	1701 ,	15.496
0.01 ,	1444 ,	8.48
0.01 ,	1666 ,	14.668
0.01 ,	1568 ,	10.855
0.01 ,	1843 ,	15.816
0.01 ,	1584 ,	9.268
0.01 ,	1621 ,	13.086
0.01 ,	1717 ,	12.972
0.01 ,	1746 ,	14.553
0.01 ,	1663 ,	13.914
0.01 ,	1536 ,	8.979
0.01 ,	1649 ,	10.874
0.01 ,	1780 ,	10.786
0.01 ,	1476 ,	12.291
0.01 ,	1718 ,	9.853
0.01 ,	1747 ,	11.876
0.01 ,	1461 ,	8.175
0.01 ,	1597 ,	6.411
0.01 ,	1916 ,	10.471
0.01 ,	1444 ,	6.795
0.01 ,	1672 ,	13.249
0.01 ,	1325 ,	10.857
0.01 ,	1531 ,	12.691
0.01 ,	1687 ,	13.607
0.01 ,	1728 ,	15.625
0.01 ,	1680 ,	10.825
0.01 ,	1691 ,	11.775
0.01 ,	1716 ,	10.935
0.01 ,	1694 ,	12.241
0.01 ,	1564 ,	7.264
0.01 ,	1714 ,	14.76
0.01 ,	1955 ,	13.271
0.01 ,	1678 ,	11.76
0.01 ,	1852 ,	12.453
0.01 ,	1694 ,	14.281
0.01 ,	1543 ,	7.535
0.01 ,	1739 ,	14.887
0.01 ,	1458 ,	12.332
0.01 ,	1660 ,	11.106
0.01 ,	1693 ,	11.795
0.01 ,	1709 ,	13.269
0.01 ,	1733 ,	11.524
0.01 ,	1619 ,	15.375
0.01 ,	1740 ,	13.352
0.01 ,	1601 ,	11.064
0.01 ,	1420 ,	8.239
0.01 ,	1667 ,	11.58
0.01 ,	1746 ,	14.017
0.01 ,	1715 ,	16.667
0.01 ,	1818 ,	12.221
0.01 ,	1658 ,	12.071
0.01 ,	1639 ,	13.193
0.01 ,	1511 ,	13.749
0.01 ,	1523 ,	8.535
0.01 ,	1403 ,	10.234
0.01 ,	1610 ,	11.08
0.01 ,	1511 ,	10.33
0.01 ,	1826 ,	12.259
0.01 ,	1717 ,	12.437
0.01 ,	1530 ,	9.933
0.01 ,	1566 ,	9.493
0.01 ,	1405 ,	12.195
0.01 ,	1790 ,	12.551
0.01 ,	1678 ,	11.333
0.01 ,	1655 ,	13.214
0.01 ,	1987 ,	12.895
0.01 ,	1703 ,	12.432
0.01 ,	1929 ,	13.271
0.01 ,	1576 ,	11.343
0.01 ,	1954 ,	14.122
0.01 ,	1833 ,	13.93
0.05 ,	364 ,	2.396
0.05 ,	306 ,	1.93
0.05 ,	425 ,	2.357
0.05 ,	365 ,	2.689
0.05 ,	290 ,	2.862
0.05 ,	317 ,	1.853
0.05 ,	358 ,	1.851
0.05 ,	238 ,	0.536
0.05 ,	286 ,	1.216
0.05 ,	323 ,	1.082
0.05 ,	287 ,	2.062
0.05 ,	307 ,	1.24
0.05 ,	262 ,	0.991
0.05 ,	311 ,	0.975
0.05 ,	276 ,	1.066
0.05 ,	295 ,	1.051
0.05 ,	348 ,	2.406
0.05 ,	287 ,	1.738
0.05 ,	302 ,	1.347
0.05 ,	269 ,	1.24
0.05 ,	230 ,	1.118
0.05 ,	325 ,	1.387
0.05 ,	320 ,	1.644
0.05 ,	311 ,	2.332
0.05 ,	341 ,	2.608
0.05 ,	299 ,	1.418
0.05 ,	345 ,	2.519
0.05 ,	279 ,	0.781
0.05 ,	372 ,	1.291
0.05 ,	313 ,	0.895
0.05 ,	257 ,	0.771
0.05 ,	345 ,	2.344
0.05 ,	322 ,	1.067
0.05 ,	297 ,	1.012
0.05 ,	238 ,	0.66
0.05 ,	279 ,	1.262
0.05 ,	246 ,	0.856
0.05 ,	302 ,	2.306
0.05 ,	301 ,	3.315
0.05 ,	237 ,	0.578
0.05 ,	348 ,	3.203
0.05 ,	350 ,	1.618
0.05 ,	262 ,	0.915
0.05 ,	323 ,	2.412
0.05 ,	263 ,	0.781
0.05 ,	383 ,	2.694
0.05 ,	317 ,	1.429
0.05 ,	311 ,	2.318
0.05 ,	272 ,	1.382
0.05 ,	264 ,	1.835
0.05 ,	315 ,	1.519
0.05 ,	329 ,	1.513
0.05 ,	277 ,	1.277
0.05 ,	323 ,	2.07
0.05 ,	291 ,	1.754
0.05 ,	259 ,	1.21
0.05 ,	284 ,	1.392
0.05 ,	241 ,	0.808
0.05 ,	269 ,	1.161
0.05 ,	369 ,	1.691
0.05 ,	276 ,	0.775
0.05 ,	301 ,	1.081
0.05 ,	344 ,	2.483
0.05 ,	324 ,	2.039
0.05 ,	298 ,	1.599
0.05 ,	324 ,	1.647
0.05 ,	243 ,	1.027
0.05 ,	293 ,	1.313
0.05 ,	295 ,	1.402
0.05 ,	341 ,	2.346
0.05 ,	316 ,	1.034
0.05 ,	266 ,	1.231
0.05 ,	270 ,	0.895
0.05 ,	319 ,	1.128
0.05 ,	238 ,	0.704
0.05 ,	269 ,	0.718
0.05 ,	278 ,	1.997
0.05 ,	267 ,	0.791
0.05 ,	334 ,	1.757
0.05 ,	401 ,	2.693
0.05 ,	377 ,	2.393
0.05 ,	371 ,	2.308
0.05 ,	288 ,	1.799
0.05 ,	309 ,	1.543
0.05 ,	369 ,	2.242
0.05 ,	288 ,	1.498
0.05 ,	306 ,	1.835
0.05 ,	255 ,	0.947
0.05 ,	305 ,	1.692
0.05 ,	280 ,	0.958
0.05 ,	286 ,	1.319
0.05 ,	346 ,	2.187
0.05 ,	336 ,	2.38
0.05 ,	258 ,	1.043
0.05 ,	328 ,	1.541
0.05 ,	271 ,	1.054
0.05 ,	270 ,	0.957
0.05 ,	255 ,	1.395
0.05 ,	346 ,	2.167
0.05 ,	344 ,	2.079
0.1 ,	154 ,	0.61
0.1 ,	131 ,	0.344
0.1 ,	120 ,	0.519
0.1 ,	132 ,	0.358
0.1 ,	150 ,	0.494
0.1 ,	144 ,	0.54
0.1 ,	148 ,	0.834
0.1 ,	183 ,	0.871
0.1 ,	129 ,	0.592
0.1 ,	125 ,	0.681
0.1 ,	144 ,	0.658
0.1 ,	158 ,	0.843
0.1 ,	176 ,	0.874
0.1 ,	117 ,	0.309
0.1 ,	145 ,	0.583
0.1 ,	146 ,	0.618
0.1 ,	149 ,	1.698
0.1 ,	156 ,	0.919
0.1 ,	162 ,	0.897
0.1 ,	161 ,	0.818
0.1 ,	182 ,	1.272
0.1 ,	148 ,	0.897
0.1 ,	163 ,	0.726
0.1 ,	136 ,	0.414
0.1 ,	132 ,	0.929
0.1 ,	133 ,	0.54
0.1 ,	131 ,	0.344
0.1 ,	119 ,	0.24
0.1 ,	144 ,	1.393
0.1 ,	158 ,	0.632
0.1 ,	156 ,	0.486
0.1 ,	128 ,	0.453
0.1 ,	162 ,	0.912
0.1 ,	149 ,	0.657
0.1 ,	159 ,	0.78
0.1 ,	123 ,	0.626
0.1 ,	141 ,	0.612
0.1 ,	132 ,	0.725
0.1 ,	204 ,	1.086
0.1 ,	228 ,	2.754
0.1 ,	156 ,	0.563
0.1 ,	130 ,	0.553
0.1 ,	121 ,	0.294
0.1 ,	129 ,	0.835
0.1 ,	152 ,	0.732
0.1 ,	152 ,	0.53
0.1 ,	118 ,	0.363
0.1 ,	176 ,	1.095
0.1 ,	130 ,	0.319
0.1 ,	166 ,	0.665
0.1 ,	130 ,	0.999
0.1 ,	126 ,	0.697
0.1 ,	136 ,	0.484
0.1 ,	118 ,	0.299
0.1 ,	165 ,	0.689
0.1 ,	155 ,	0.839
0.1 ,	122 ,	0.426
0.1 ,	133 ,	1.158
0.1 ,	142 ,	0.563
0.1 ,	132 ,	0.683
